ID	adj.P.Val	P.Value	F	Gene.symbol	Gene.title	Gene.ID
101632_at	0.980273	8.10e-01	0.215671	Tnfrsf11a	tumor necrosis factor receptor superfamily, member 11a, NFKB activator	21934
96567_at	0.980273	8.10e-01	0.215665	Rho	rhodopsin	212541
102133_at	0.980273	8.10e-01	0.215565	Zfp568	zinc finger protein 568	243905
161021_at	0.980273	8.11e-01	0.21533	Pak3	p21 protein (Cdc42/Rac)-activated kinase 3	18481
98402_at	0.980273	8.11e-01	0.215286	Macf1	microtubule-actin crosslinking factor 1	11426
96734_at	0.980273	8.11e-01	0.215013	Synj2bp	synaptojanin 2 binding protein	24071
98882_s_at	0.980273	8.11e-01	0.214762	Ndel1	nudE neurodevelopment protein 1 like 1	83431
99534_at	0.980273	8.11e-01	0.214705	Ghrl	ghrelin	58991
102384_at	0.980273	8.11e-01	0.214129	Smarca2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	67155
162172_f_at	0.980273	8.12e-01	0.214036	Nedd4	neural precursor cell expressed, developmentally down-regulated 4	17999
160674_at	0.980273	8.12e-01	0.213857	Tfr2	transferrin receptor 2	50765
100388_at	0.980273	8.12e-01	0.213826	Gnao1	guanine nucleotide binding protein, alpha O	14681
94783_at	0.980273	8.12e-01	0.213807	C79452	expressed sequence C79452	97073
161195_i_at	0.980273	8.12e-01	0.213551	Snw1	SNW domain containing 1	66354
94692_at	0.980273	8.12e-01	0.213549	Gpx5	glutathione peroxidase 5	14780
92502_at	0.980273	8.12e-01	0.213543	Plagl1	pleiomorphic adenoma gene-like 1	22634
97759_at	0.980273	8.12e-01	0.213465	Kcnma1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1	16531
101622_at	0.980273	8.12e-01	0.213311	Alx4	aristaless-like homeobox 4	11695
96806_at	0.980273	8.12e-01	0.213215	Lpin2	lipin 2	64898
93633_at	0.980273	8.12e-01	0.213159	Sergef	secretion regulating guanine nucleotide exchange factor	27414
101564_at	0.980273	8.12e-01	0.212957	Cnot7	CCR4-NOT transcription complex, subunit 7	18983
100071_at	0.980273	8.12e-01	0.212925	Gm21320///Mup19///Gm2083///Mup18///Mup8///Mup7///Mup17///Mup16///Mup15///Mup14///Mup13///Mup12///Mup11///Mup10///Mup9///Mup2///Mup1	predicted gene, 21320///major urinary protein 19///major urinary protein LOC100048885///major urinary protein 18///major urinary protein 8///major urinary protein 7///major urinary protein 17///major urinary protein 16///major urinary protein 15///major urinary protein 14///major urinary protein 13///major urinary protein 12///major urinary protein 11///major urinary protein 10///major urinary protein 9///major urinary protein 2///major urinary protein 1	100861909///100189605///100048885///100048884///100041687///100041658///100039206///100039177///100039150///100039116///100039089///100039054///100039028///100039008///100038948///17841///17840
97731_at	0.980273	8.12e-01	0.212779	Ido1	indoleamine 2,3-dioxygenase 1	15930
162189_r_at	0.980273	8.13e-01	0.212518	Gcdh	glutaryl-Coenzyme A dehydrogenase	270076
102703_s_at	0.980273	8.13e-01	0.212477	Aqp4	aquaporin 4	11829
93128_at	0.980273	8.13e-01	0.212452	Npy1r	neuropeptide Y receptor Y1	18166
103989_at	0.980273	8.13e-01	0.212408	Prdm5	PR domain containing 5	70779
104297_at	0.980273	8.13e-01	0.212388	Ipo11	importin 11	76582
93571_at	0.980273	8.13e-01	0.212342	Sptbn1	spectrin beta, non-erythrocytic 1	20742
104345_at	0.980273	8.13e-01	0.212294	Exoc7	exocyst complex component 7	53413
97262_at	0.980273	8.13e-01	0.2119	Csnk1d	casein kinase 1, delta	104318
162381_f_at	0.980273	8.13e-01	0.211872	Sphk2	sphingosine kinase 2	56632
96568_at	0.980273	8.13e-01	0.211741	Cntn3	contactin 3	18488
94952_at	0.980273	8.13e-01	0.211594	Igf2bp2	insulin-like growth factor 2 mRNA binding protein 2	319765
93370_at	0.980273	8.13e-01	0.211585	Syt17	synaptotagmin XVII	110058
162486_f_at	0.980273	8.14e-01	0.211351	Dscr3	Down syndrome critical region gene 3	13185
102982_at	0.980273	8.14e-01	0.211306	B230308N11Rik	RIKEN cDNA B230308N11 gene	320060
161022_at	0.980273	8.14e-01	0.211287	Fam207a	family with sequence similarity 207, member A	108707
93772_i_at	0.980273	8.14e-01	0.210943	Zranb2	zinc finger, RAN-binding domain containing 2	53861
102870_at	0.980273	8.14e-01	0.210914	Dynlt1a///Dynlt1c	dynein light chain Tctex-type 1A///dynein light chain Tctex-type 1C	100310872///100040563
100538_at	0.980273	8.14e-01	0.210671	Sod1	superoxide dismutase 1, soluble	20655
100301_at	0.980273	8.14e-01	0.210572	Esrrb	estrogen related receptor, beta	26380
104314_r_at	0.980273	8.14e-01	0.210519	1110032A03Rik	RIKEN cDNA 1110032A03 gene	68721
93298_at	0.980273	8.14e-01	0.210458	Papss1	3'-phosphoadenosine 5'-phosphosulfate synthase 1	23971
101688_at	0.980273	8.14e-01	0.210268	D4Ertd58e	DNA segment, Chr 4, ERATO Doi 58, expressed	52054
95284_at	0.980273	8.14e-01	0.210266	Fcrla	Fc receptor-like A	98752
104088_at	0.980273	8.14e-01	0.210229	Bnip1	BCL2/adenovirus E1B interacting protein 1	224630
161370_f_at	0.980273	8.15e-01	0.210186	Sdc1	syndecan 1	20969
102767_at	0.980273	8.15e-01	0.210096	Gng12	guanine nucleotide binding protein (G protein), gamma 12	14701
162377_f_at	0.980273	8.15e-01	0.20992	Ssbp4	single stranded DNA binding protein 4	76900
93025_at	0.980273	8.15e-01	0.209506	Ndfip1	Nedd4 family interacting protein 1	65113
103485_at	0.980273	8.15e-01	0.20918	Nynrin	NYN domain and retroviral integrase containing	277154
95418_at	0.980273	8.15e-01	0.209121	Rasl11b	RAS-like, family 11, member B	68939
104557_at	0.980273	8.15e-01	0.208962	Pitpnb	phosphatidylinositol transfer protein, beta	56305
98969_at	0.980273	8.15e-01	0.20891	Abcd1	ATP-binding cassette, sub-family D (ALD), member 1	11666
103709_at	0.980273	8.16e-01	0.208784	Col1a1	collagen, type I, alpha 1	12842
100695_at	0.980273	8.16e-01	0.208668	Edn2	endothelin 2	13615
98727_at	0.980273	8.16e-01	0.208408	Gucy2e	guanylate cyclase 2e	14919
101921_at	0.980273	8.16e-01	0.208407	Rab4a	RAB4A, member RAS oncogene family	19341
102271_at	0.980273	8.16e-01	0.208345	Zmiz2	zinc finger, MIZ-type containing 2	52915
99188_at	0.980273	8.16e-01	0.208316	Use1	unconventional SNARE in the ER 1 homolog (S. cerevisiae)	67023
92901_at	0.980273	8.16e-01	0.20816	Rara	retinoic acid receptor, alpha	19401
161986_f_at	0.980273	8.16e-01	0.208124	Gpx5	glutathione peroxidase 5	14780
100734_at	0.980273	8.16e-01	0.208088	Gm5879///Gm12816///Rpl3	predicted gene 5879///predicted gene 12816///ribosomal protein L3	545864///433745///27367
98870_at	0.980273	8.16e-01	0.208076	Bcl2	B cell leukemia/lymphoma 2	12043
101343_at	0.980273	8.16e-01	0.207904	Sh2d1b1	SH2 domain containing 1B1	26904
101341_at	0.980273	8.16e-01	0.207697	H2-M9	histocompatibility 2, M region locus 9	14997
160063_i_at	0.980273	8.16e-01	0.207636	Gsta1	glutathione S-transferase, alpha 1 (Ya)	14857
97527_at	0.980273	8.17e-01	0.207547	Cks2	CDC28 protein kinase regulatory subunit 2	66197
93225_s_at	0.980273	8.17e-01	0.207514	Cyp21a1	cytochrome P450, family 21, subfamily a, polypeptide 1	13079
95516_at	0.980273	8.17e-01	0.207289	Rab9	RAB9, member RAS oncogene family	56382
94916_at	0.980273	8.17e-01	0.207078	Cyp51	cytochrome P450, family 51	13121
102900_at	0.980273	8.17e-01	0.206975	Six3	sine oculis-related homeobox 3	20473
100358_s_at	0.980273	8.17e-01	0.206955	Tcp10b	t-complex protein 10b	21462
96741_at	0.980273	8.17e-01	0.206871	Phf12	PHD finger protein 12	268448
94870_f_at	0.980273	8.17e-01	0.206691	Sar1b	secretion associated Ras related GTPase 1B	66397
93159_at	0.980273	8.17e-01	0.206446	Syt2	synaptotagmin II	20980
161138_r_at	0.980273	8.17e-01	0.206374	Cmas	cytidine monophospho-N-acetylneuraminic acid synthetase	12764
102801_at	0.980273	8.18e-01	0.206167	Bglap3	bone gamma-carboxyglutamate protein 3	12095
102060_at	0.980273	8.18e-01	0.206128	Golga4	golgi autoantigen, golgin subfamily a, 4	54214
160061_at	0.980273	8.18e-01	0.206076	Tmed1	transmembrane emp24 domain containing 1	17083
93834_at	0.980273	8.18e-01	0.206066	Hist1h2bp	histone cluster 1, H2bp	319188
100460_at	0.980273	8.18e-01	0.205976	Ctr9	CTR9 homolog, Paf1/RNA polymerase II complex component	22083
100760_at	0.980273	8.18e-01	0.205959	Dsc1	desmocollin 1	13505
100390_s_at	0.980273	8.18e-01	0.205803	Bfsp1	beaded filament structural protein 1, in lens-CP94	12075
96616_at	0.980273	8.18e-01	0.205742	Atad1	ATPase family, AAA domain containing 1	67979
103067_at	0.980273	8.18e-01	0.205691	Rala	v-ral simian leukemia viral oncogene A (ras related)	56044
92282_at	0.980273	8.18e-01	0.205627	Rprd1b	regulation of nuclear pre-mRNA domain containing 1B	70470
103087_at	0.980273	8.18e-01	0.205435	Sult1a1	sulfotransferase family 1A, phenol-preferring, member 1	20887
94559_at	0.980273	8.18e-01	0.205403	Gtf3a	general transcription factor III A	66596
92574_at	0.980273	8.18e-01	0.205248	Sdhd	succinate dehydrogenase complex, subunit D, integral membrane protein	66925
103780_at	0.980273	8.19e-01	0.205025	1700021F05Rik	RIKEN cDNA 1700021F05 gene	67851
AFFX-LysX-5_at	0.980273	8.19e-01	0.204872			
94340_at	0.980273	8.19e-01	0.204776	Xpot	exportin, tRNA (nuclear export receptor for tRNAs)	73192
93490_at	0.980273	8.19e-01	0.204457	Maf1	MAF1 homolog, negative regulator of RNA polymerase III	68877
160287_at	0.980273	8.19e-01	0.204393	Map1lc3b	microtubule-associated protein 1 light chain 3 beta	67443
100938_at	0.980273	8.19e-01	0.204367	Ghrh	growth hormone releasing hormone	14601
99399_at	0.980273	8.19e-01	0.204281	Agrp	agouti related neuropeptide	11604
99585_at	0.980273	8.19e-01	0.204195	Cd82	CD82 antigen	12521
98240_at	0.980273	8.19e-01	0.204024	Il12rb1	interleukin 12 receptor, beta 1	16161
92550_at	0.980273	8.19e-01	0.204023	Krt19	keratin 19	16669
96718_at	0.980273	8.19e-01	0.203908	Sssca1///Fam89b	Sjogren's syndrome/scleroderma autoantigen 1 homolog (human)///family with sequence similarity 89, member B	56390///17826
97654_at	0.980273	8.20e-01	0.203668	Dlx6os2	distal-less homeobox 6, opposite strand 2	13397
161496_r_at	0.980273	8.20e-01	0.203664	Krt17	keratin 17	16667
104241_at	0.980273	8.20e-01	0.203536	Mef2d	myocyte enhancer factor 2D	17261
160256_at	0.980273	8.20e-01	0.203528	Tomm7	translocase of outer mitochondrial membrane 7 homolog (yeast)	66169
98039_at	0.980273	8.20e-01	0.203379	2410015M20Rik	RIKEN cDNA 2410015M20 gene	224904
93600_at	0.980273	8.20e-01	0.203323	Leprot	leptin receptor overlapping transcript	230514
99871_f_at	0.980273	8.20e-01	0.203295	Psg19	pregnancy specific glycoprotein 19	26439
93268_at	0.980273	8.20e-01	0.203026	Glo1	glyoxalase 1	109801
98873_at	0.980273	8.20e-01	0.203017	Dlx4	distal-less homeobox 4	13394
94465_g_at	0.980273	8.20e-01	0.202987	Clcn3	chloride channel, voltage-sensitive 3	12725
92926_at	0.980273	8.20e-01	0.202941	Mpl	myeloproliferative leukemia virus oncogene	17480
92233_at	0.980821	8.21e-01	0.202238	Paxbp1	PAX3 and PAX7 binding protein 1	67367
92270_at	0.980882	8.21e-01	0.202054	Tro	trophinin	56191
160440_at	0.980903	8.21e-01	0.201861	Smad4	SMAD family member 4	17128
103733_at	0.980903	8.21e-01	0.201794	Taok3	TAO kinase 3	330177
94011_at	0.981142	8.21e-01	0.201308	Rbm42	RNA binding motif protein 42	68035
98887_at	0.981142	8.21e-01	0.201301	Napa	N-ethylmaleimide sensitive fusion protein attachment protein alpha	108124
97482_at	0.981174	8.22e-01	0.201148	Cab39l	calcium binding protein 39-like	69008
92385_at	0.981392	8.22e-01	0.200691	Clcn2	chloride channel, voltage-sensitive 2	12724
93051_at	0.981392	8.22e-01	0.20056	Ephx2	epoxide hydrolase 2, cytoplasmic	13850
92481_at	0.981392	8.22e-01	0.200559	Chek2	checkpoint kinase 2	50883
93354_at	0.981553	8.22e-01	0.200264	Apoc1	apolipoprotein C-I	11812
103029_at	0.981553	8.22e-01	0.200045	Pdcd4	programmed cell death 4	18569
161096_at	0.981553	8.22e-01	0.199977	Zfp532	zinc finger protein 532	328977
101735_f_at	0.981553	8.23e-01	0.199842	Ang2	angiogenin, ribonuclease A family, member 2	11731
96066_s_at	0.981553	8.23e-01	0.199748	Pkm	pyruvate kinase, muscle	18746
95442_at	0.981553	8.23e-01	0.199648	Tmem205	transmembrane protein 205	235043
161365_r_at	0.981553	8.23e-01	0.199539	Cfb	complement factor B	14962
96139_at	0.981553	8.23e-01	0.199441	Mogs	mannosyl-oligosaccharide glucosidase	57377
98830_at	0.981628	8.23e-01	0.19916	Sbp	spermine binding protein	20234
93520_at	0.981628	8.23e-01	0.199123	Srrm1	serine/arginine repetitive matrix 1	51796
161489_r_at	0.981767	8.23e-01	0.198857	Tmem109	transmembrane protein 109	68539
AFFX-PyruCarbMur/L09192_MA_at	0.981817	8.24e-01	0.198617	Pcx	pyruvate carboxylase	18563
103028_at	0.981817	8.24e-01	0.198404	Itk	IL2 inducible T cell kinase	16428
99325_at	0.981817	8.24e-01	0.198201	Wnt3	wingless-type MMTV integration site family, member 3	22415
93887_at	0.981817	8.24e-01	0.198135	Mpdz	multiple PDZ domain protein	17475
93984_at	0.981817	8.24e-01	0.197989	Atpif1	ATPase inhibitory factor 1	11983
161809_r_at	0.981817	8.24e-01	0.197876	Rnf4	ring finger protein 4	19822
98314_g_at	0.981817	8.24e-01	0.197764	Tenm4	teneurin transmembrane protein 4	23966
93659_at	0.981817	8.24e-01	0.197752	Camk2a	calcium/calmodulin-dependent protein kinase II alpha	12322
93985_at	0.981817	8.24e-01	0.197739	Tiparp	TCDD-inducible poly(ADP-ribose) polymerase	99929
97404_at	0.982129	8.25e-01	0.197107	Dda1	DET1 and DDB1 associated 1	66498
100634_at	0.982129	8.25e-01	0.196899	Rdh7	retinol dehydrogenase 7	54150
96145_at	0.982129	8.25e-01	0.196854	Pigt	phosphatidylinositol glycan anchor biosynthesis, class T	78928
99147_at	0.982129	8.25e-01	0.196841	Znhit1	zinc finger, HIT domain containing 1	70103
100381_at	0.982129	8.25e-01	0.196783	Acta1	actin, alpha 1, skeletal muscle	11459
93522_at	0.982129	8.25e-01	0.19646	Rad9a	RAD9 checkpoint clamp component A	19367
95032_at	0.982129	8.25e-01	0.196378	Prc1	protein regulator of cytokinesis 1	233406
97924_at	0.982129	8.25e-01	0.196352	Gne	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	50798
104562_at	0.982129	8.26e-01	0.195858	Zfp954	zinc finger protein 954	232853
102880_at	0.982129	8.26e-01	0.19567	Bbs9	Bardet-Biedl syndrome 9 (human)	319845
101873_at	0.982129	8.26e-01	0.195426	Jak3///Insl3	Janus kinase 3///insulin-like 3	16453///16336
97403_at	0.982129	8.26e-01	0.195418	Tsfm	Ts translation elongation factor, mitochondrial	66399
98621_at	0.982129	8.26e-01	0.195246	Gnptg	N-acetylglucosamine-1-phosphotransferase, gamma subunit	214505
97993_at	0.982129	8.26e-01	0.195212	Uros	uroporphyrinogen III synthase	22276
92414_at	0.982129	8.26e-01	0.194948	Adam12	a disintegrin and metallopeptidase domain 12 (meltrin alpha)	11489
92448_s_at	0.982129	8.26e-01	0.194921	Gfra2	glial cell line derived neurotrophic factor family receptor alpha 2	14586
160481_at	0.982129	8.26e-01	0.194894	Pck1	phosphoenolpyruvate carboxykinase 1, cytosolic	18534
97704_at	0.982129	8.26e-01	0.194872	Ell2	elongation factor RNA polymerase II 2	192657
92839_f_at	0.982129	8.27e-01	0.194661	Snrpb2	U2 small nuclear ribonucleoprotein B	20639
162038_f_at	0.982129	8.27e-01	0.194295	Galm	galactose mutarotase	319625
AFFX-PyruCarbMur/L09192_MB_at	0.982129	8.27e-01	0.194177	Pcx	pyruvate carboxylase	18563
93144_at	0.982129	8.27e-01	0.194167	Dip2b	disco interacting protein 2 homolog B	239667
160744_r_at	0.982129	8.27e-01	0.193833	Ctrl	chymotrypsin-like	109660
98798_at	0.982129	8.27e-01	0.193817	Ncan	neurocan	13004
97517_at	0.982129	8.27e-01	0.193775	Exosc4	exosome component 4	109075
94924_at	0.982129	8.27e-01	0.193717	Prrg2	proline-rich Gla (G-carboxyglutamic acid) polypeptide 2	65116
93663_r_at	0.982129	8.28e-01	0.19358	Zap70	zeta-chain (TCR) associated protein kinase	22637
97832_at	0.982129	8.28e-01	0.193568	Adgre5	adhesion G protein-coupled receptor E5	26364
98409_at	0.982129	8.28e-01	0.193492	Myo1b	myosin IB	17912
97176_at	0.982129	8.28e-01	0.193369			
96736_at	0.982129	8.28e-01	0.193365	Lpp	LIM domain containing preferred translocation partner in lipoma	210126
102584_at	0.982129	8.28e-01	0.193328	Dyrk1b	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1b	13549
102701_at	0.982129	8.28e-01	0.193268	Cyp2b10	cytochrome P450, family 2, subfamily b, polypeptide 10	13088
96240_at	0.982129	8.28e-01	0.193076	Tmem106c	transmembrane protein 106C	380967
93014_at	0.982129	8.28e-01	0.193032	Atp5l	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G	27425
102619_at	0.982129	8.28e-01	0.192415	Fgd3	FYVE, RhoGEF and PH domain containing 3	30938
101985_at	0.982129	8.29e-01	0.192164	Plg	plasminogen	18815
161336_r_at	0.982129	8.29e-01	0.192143	Ndst2	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2	17423
160292_at	0.982129	8.29e-01	0.192074	Sco2///Tymp	SCO2 cytochrome c oxidase assembly protein///thymidine phosphorylase	100126824///72962
100897_f_at	0.982129	8.29e-01	0.191862	Zbtb22	zinc finger and BTB domain containing 22	81630
101759_at	0.982129	8.29e-01	0.191805	Tcp1-ps1	t-complex protein 1, pseudogene 1	21455
95799_s_at	0.982129	8.29e-01	0.191802	Vmn2r42	vomeronasal 2, receptor 42	22310
100580_at	0.982129	8.29e-01	0.191781	Clta	clathrin, light polypeptide (Lca)	12757
98533_at	0.982129	8.29e-01	0.191605	Cyb5a	cytochrome b5 type A (microsomal)	109672
93213_at	0.982129	8.29e-01	0.191592	Igk-V28	immunoglobulin kappa chain variable 28 (V28)	16114
99825_at	0.982129	8.29e-01	0.191572	Srcap	Snf2-related CREBBP activator protein	100043597
94835_f_at	0.982129	8.29e-01	0.19157	Tubb2a	tubulin, beta 2A class IIA	22151
100029_at	0.982129	8.29e-01	0.191515	Pex14	peroxisomal biogenesis factor 14	56273
AFFX-GapdhMur/M32599_M_at	0.982129	8.29e-01	0.191494	Gapdh	glyceraldehyde-3-phosphate dehydrogenase	14433
94663_at	0.982129	8.29e-01	0.19149	Slco5a1	solute carrier organic anion transporter family, member 5A1	240726
104147_at	0.982129	8.29e-01	0.191387	Nans	N-acetylneuraminic acid synthase (sialic acid synthase)	94181
102426_at	0.982129	8.29e-01	0.191252	Casq1	calsequestrin 1	12372
93183_at	0.982129	8.30e-01	0.190958	Pigu	phosphatidylinositol glycan anchor biosynthesis, class U	228812
102631_at	0.982129	8.30e-01	0.190917	Blm	Bloom syndrome, RecQ helicase-like	12144
93327_at	0.982129	8.30e-01	0.190772	Tax1bp3	Tax1 (human T cell leukemia virus type I) binding protein 3	76281
92643_at	0.982129	8.30e-01	0.190669	Nf2	neurofibromatosis 2	18016
103998_at	0.982129	8.30e-01	0.190478	Kif16b	kinesin family member 16B	16558
98831_at	0.982129	8.30e-01	0.190291	Foxj1	forkhead box J1	15223
161664_at	0.982129	8.30e-01	0.190202	Mrpl50	mitochondrial ribosomal protein L50	28028
160221_at	0.982129	8.30e-01	0.19019	Lgals2	lectin, galactose-binding, soluble 2	107753
96087_at	0.982129	8.30e-01	0.190134	Mgat1	mannoside acetylglucosaminyltransferase 1	17308
98594_at	0.982129	8.30e-01	0.190109	1190002N15Rik	RIKEN cDNA 1190002N15 gene	68861
94988_at	0.982257	8.30e-01	0.189845	Pten	phosphatase and tensin homolog	19211
95287_at	0.982257	8.31e-01	0.189738	Luc7l2	LUC7-like 2 (S. cerevisiae)	192196
161507_f_at	0.982478	8.31e-01	0.189313	Ndufaf1	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 1	69702
92635_at	0.982478	8.31e-01	0.189154	Tuba4a	tubulin, alpha 4A	22145
104749_at	0.982478	8.31e-01	0.189076	Rnf20	ring finger protein 20	109331
104727_at	0.982478	8.31e-01	0.189034	Dcun1d2	DCN1, defective in cullin neddylation 1, domain containing 2 (S. cerevisiae)	102323
101384_at	0.982506	8.31e-01	0.188868	Degs2	delta(4)-desaturase, sphingolipid 2	70059
99161_at	0.982506	8.32e-01	0.188461	Grina	glutamate receptor, ionotropic, N-methyl D-aspartate-associated protein 1 (glutamate binding)	66168
94690_at	0.982506	8.32e-01	0.188446	C79490	expressed sequence C79490	97296
92612_at	0.982506	8.32e-01	0.188416	Slc27a5	solute carrier family 27 (fatty acid transporter), member 5	26459
103411_at	0.982506	8.32e-01	0.188309	Gna11	guanine nucleotide binding protein, alpha 11	14672
161864_f_at	0.982506	8.32e-01	0.188303	Ptdss1	phosphatidylserine synthase 1	19210
161130_f_at	0.982744	8.32e-01	0.187933	Klhdc4	kelch domain containing 4	234825
103200_at	0.982746	8.32e-01	0.187814	Fam65b	family with sequence similarity 65, member B	193385
97415_at	0.982996	8.32e-01	0.187389	Rab3d	RAB3D, member RAS oncogene family	19340
95998_at	0.982996	8.33e-01	0.187222			
104050_at	0.982996	8.33e-01	0.187197	Zfr	zinc finger RNA binding protein	22763
103970_at	0.983022	8.33e-01	0.186978	Arid3b	AT rich interactive domain 3B (BRIGHT-like)	56380
161229_at	0.983022	8.33e-01	0.186936	Prm2	protamine 2	19119
98771_at	0.983236	8.33e-01	0.186592	Ephb2	Eph receptor B2	13844
103098_at	0.983237	8.33e-01	0.186463	Baiap2	brain-specific angiogenesis inhibitor 1-associated protein 2	108100
98306_g_at	0.983237	8.33e-01	0.186273	Foxm1	forkhead box M1	14235
103422_at	0.983237	8.33e-01	0.186241	Cd1d1	CD1d1 antigen	12479
160995_at	0.983526	8.34e-01	0.185536	Repin1	replication initiator 1	58887
103825_at	0.983526	8.34e-01	0.185502	Rps6kb2	ribosomal protein S6 kinase, polypeptide 2	58988
99371_at	0.983526	8.34e-01	0.185408	Kcnd3	potassium voltage-gated channel, Shal-related family, member 3	56543
94933_at	0.983526	8.34e-01	0.18523	Fam173a	family with sequence similarity 173, member A	214917
93519_s_at	0.983526	8.34e-01	0.185062	Nedd8	neural precursor cell expressed, developmentally down-regulated gene 8	18002
104008_at	0.983526	8.35e-01	0.18477	Spdef	SAM pointed domain containing ets transcription factor	30051
94100_s_at	0.983526	8.35e-01	0.184764	Trpc4	transient receptor potential cation channel, subfamily C, member 4	22066
93027_r_at	0.983526	8.35e-01	0.184739	Rps13	ribosomal protein S13	68052
160532_at	0.983526	8.35e-01	0.184679	Tpm1	tropomyosin 1, alpha	22003
161803_r_at	0.983526	8.35e-01	0.18464			
92276_at	0.983526	8.35e-01	0.18464	Map3k6	mitogen-activated protein kinase kinase kinase 6	53608
95614_at	0.983526	8.35e-01	0.184534	Cbx5	chromobox 5	12419
100724_at	0.983624	8.35e-01	0.184313	Zfp28	zinc finger protein 28	22690
103808_at	0.983706	8.35e-01	0.18411	Golga5	golgi autoantigen, golgin subfamily a, 5	27277
96872_at	0.983721	8.35e-01	0.18383	Sgta	small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha	52551
160522_at	0.983721	8.35e-01	0.183762	Nrep	neuronal regeneration related protein	27528
96954_at	0.983721	8.35e-01	0.18363	Stk24	serine/threonine kinase 24	223255
93209_at	0.983721	8.36e-01	0.183466	Nek4	NIMA (never in mitosis gene a)-related expressed kinase 4	23955
97242_at	0.983721	8.36e-01	0.183437	Cystm1	cysteine-rich transmembrane module containing 1	66060
97345_at	0.983721	8.36e-01	0.183128	Anp32e	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	66471
94163_at	0.983721	8.36e-01	0.183085	Atp4a	ATPase, H+/K+ exchanging, gastric, alpha polypeptide	11944
161398_at	0.983721	8.36e-01	0.183043	Dnah8	dynein, axonemal, heavy chain 8	13417
96634_at	0.983721	8.36e-01	0.182947	Fam213a	family with sequence similarity 213, member A	70564
95718_f_at	0.983721	8.36e-01	0.182849	Usmg5	upregulated during skeletal muscle growth 5	66477
102198_at	0.983721	8.36e-01	0.182812	Kcnn4	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	16534
161916_r_at	0.983756	8.36e-01	0.182597	Serpinf2	serine (or cysteine) peptidase inhibitor, clade F, member 2	18816
102478_f_at	0.983756	8.36e-01	0.182429	Fbxw4	F-box and WD-40 domain protein 4	30838
100093_at	0.983756	8.36e-01	0.182416	Cdk16	cyclin-dependent kinase 16	18555
101317_f_at	0.983756	8.37e-01	0.18208	Ifnab	interferon alpha B	15974
95131_f_at	0.983756	8.37e-01	0.182053	Ndufb2	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2	68198
100383_at	0.983756	8.37e-01	0.181835	Rnf112	ring finger protein 112	22671
96488_at	0.983756	8.37e-01	0.181766	Jak2	Janus kinase 2	16452
160870_at	0.983756	8.37e-01	0.181758	Adcy3	adenylate cyclase 3	104111
160378_at	0.983756	8.37e-01	0.181728	Tmem109	transmembrane protein 109	68539
95658_at	0.983967	8.37e-01	0.181389	Commd1	COMM domain containing 1	17846
97080_at	0.984313	8.38e-01	0.180822	C79562	expressed sequence C79562	97158
93818_g_at	0.984313	8.38e-01	0.18079	Gm10698///Tmed2	predicted gene 10698///transmembrane emp24 domain trafficking protein 2	100862175///56334
94807_at	0.984849	8.38e-01	0.179996	Slc25a1	solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1	13358
102372_at	0.984849	8.39e-01	0.17961	Jchain	immunoglobulin joining chain	16069
104661_at	0.984849	8.39e-01	0.179566	Tmem245	transmembrane protein 245	242474
160288_at	0.984849	8.39e-01	0.179476	Map1lc3b	microtubule-associated protein 1 light chain 3 beta	67443
94683_at	0.984849	8.39e-01	0.179155	AA516738	expressed sequence AA516738	100519
101415_i_at	0.984849	8.39e-01	0.179137	Gpank1	G patch domain and ankyrin repeats 1	81845
160554_at	0.984849	8.39e-01	0.17895	Eif3e	eukaryotic translation initiation factor 3, subunit E	16341
93788_at	0.984849	8.39e-01	0.178817	Cox4i1	cytochrome c oxidase subunit IV isoform 1	12857
161866_at	0.984849	8.39e-01	0.178795	Epha4	Eph receptor A4	13838
99370_at	0.984849	8.39e-01	0.178791	Klrc1	killer cell lectin-like receptor subfamily C, member 1	16641
94078_at	0.984849	8.40e-01	0.178507	Uqcr10	ubiquinol-cytochrome c reductase, complex III subunit X	66152
103848_at	0.984849	8.40e-01	0.178494	Crkl	v-crk avian sarcoma virus CT10 oncogene homolog-like	12929
97660_s_at	0.984849	8.40e-01	0.178472	Tcf7l2	transcription factor 7 like 2, T cell specific, HMG box	21416
161041_at	0.984849	8.40e-01	0.178264	Ddx25	DEAD (Asp-Glu-Ala-Asp) box polypeptide 25	30959
104757_at	0.984849	8.40e-01	0.17818	Zw10	zw10 kinetochore protein	26951
103044_g_at	0.984849	8.40e-01	0.178035	Mtcp1	mature T cell proliferation 1	17763
